,User @,Comment Text,original_comment
0,.01rull,kalimantan bebas ongkos kirim,['AKHIRNYA KALIMANTAN BEBAS ONGKIR🥺🥺']
1,.azer_03,iya rencananya pembuayan kota nusantara berhutang yah,['iya kan rencananya pembuayan ikn bukan ngutang kan ya']
2,.hambaallah.com,pemerintah indonesia berukasa orang negeri,['negara indonesia yang berukasa orang luar negri']
3,.sasasa_,,['@well03_ iki']
4,.siiapa,jakarta sepi nasib pedagang jakarta kuli serabutan yah,"['Jakarta nanti jadi sepi dong, terus nasib para pedagang atau yg bekerja di jakarta sebagai kuli serabutan gimana yah?']"
5,.vannila_spring_cookie23,selamat tinggal dki jakarta hi kota nusantara penajam,['bye DKI Jakarta hi IKN penajam 😀🙏']
6,0._8_.0,ketebak kalimantan gundul,['udah ketebak nanti kalimantan gundul']
7,01_anton,3 periode jokowi,['lanjut 3 periode pk jokowi']
8,080910obay0,pajak nya mahal,['pajak nya juga mahal']
9,09egy,pas gubernur fokus dki tahu-tahu presiden mengatasi jakarta eh tahu-tahu kotanya mengubah,"['pas jdi gubernur, mo fokus di dki, tau2 jdi presiden, bisa ngtsi jkt lbh baik, eh tau2 ibukotanya pindah..?????']"
10,0rangdalam1,orang semenjak dididik orang kapitalis pekerja,['dan semua orang semenjak kecil dididik orang kapitalis pekerja']
11,0rgindo,yaelah pemerataan noh pemerintah daerahnya kmn ajawkwk,['yaelah pemerataan mah noh pemerintah daerahnya pada kmn aja?wkwk']
12,1.oriswarae,gas kemajuan pemerintah republik indonesia,['gas pak demi kemajuan negara Republik indonesia 👍👍👍']
13,123_smrt,mantap,['mantap']
14,1311evi,mimpi,['tapi mimpi']
15,140674fredy,mantap presidenku,['MANTAP PAK PRESIDENKU 👍']
16,14rchie,setuju,['setujuuuuuu']
17,1915_2,penuh mendukung pemerintah,['Saya dgn penuh mendukung pemerintah']
18,1kalajeng_queen,berdoa terbaik bersiaplah kehilangan mu,"['kalau kamu berdoa minta yg terbaik ,maka bersiaplah kehilangan yg baik menurut mu']"
19,1niakun,menkeu paham keuangan pemerintah kalah kayanya lu bawa konstitusi hutang persen pdb pemerintah orang kalimantan timur bang muara badak jalan samarinda bontang yah allah jeleknya,"['Menkeu yg udh paham Ama keuangan negara kalah kayanya Ama lu 😂 ampe bawa konstitusi lagi, hutang skrg brp persen PDB negara', 'org Kaltim juga bang? aku dari muara badak, jalan dari Samarinda ke Bontang ya Allah jeleknya 😂']"
20,200percenthisisme,hebat presiden,['👍👍👍 Hebat Presiden kita.']
21,212bay,atur mimpi mu sengsara rakyat,"['atur saja mimpi mu pak..\ntapi ingat jangan terus"" buat sengsara rakyat..🤣']"
22,22_fhebruary,we cinta,['we love you pak 🥰']
23,2rebu1,konser nya mengubah yah,['konser nya juga pada pindah ga ya?']
24,4b4nk_ulil,no sense of crisismenganggap bussiness as usualmati empatisakit jiwa,['no sense of crisis...menganggap bussiness as usual...mati empati....SAKIT JIWA']
25,4kbrdisinii_,banjir,['banjirrrrrr']
26,4ryaraaa,menghindari banjir,['ngindarin banjir']
27,4sriey,jaemin men jaya jaya jaya ih ih sumpah,['@pacar jaemin men @azyfaa jaya jaya jaya @sal @lvzhi @rty IH IH SUMPAH GAMAUUUU']
28,4u_zakri,biar demonstrasi,['biar gak banyak yg demo 😂']
29,5atubokepbibd,semoga minyak goreng harganya turun,['Semoga minyak goreng harganya bisa turun']
30,76halw,setuju kota nusantara anis presiden 2024,"['Saya Setuju IKN, kalau Anis yang nantinya menjadi presiden 2024']"
31,82746372827us,periode habis selesai kota,['Priode abis kaga selesai tu ibu kota']
32,92haidar,resesi dpan gelap negeri hemat,['ktnya mw resesi dan tahun dpan bakalan gelap\nharusnya skrg negeri ini lebih hemat dlm segala hal']
33,9gigitupai,pergi kota x kotanya,['pergi ke ibukota X\nibukotanya yang datang ✓']
34,MS4wLjABAAAAeDEAMCvcqtNuWk-ob94z3xHTzri5qh80SuVjN4RGbKMZrQNX78lcHJz-TJp0u2JF,hebat jokowi,['hebat pak jokowi']
35,MS4wLjABAAAAjzpNWULpBMp1nIQBrHf3oClzHkYMVhk1sPkJIdO2yvU9DB2PwQFPW_Qta_8FN709,bingung,['bingung']
36,__12hany,bner2 bijak renda hati,['msaallah emang bner2 bijak sana dan renda hati']
37,__narendraa,ujian generasi nama kota indonesia Indonesia,"['nanti pertanyaan pertanyaan soal ujian generasi selanjutnya pasti ""apa nama ibu kota indonesia sebelum nusantara""😂😂']"
38,_abdi_iiah_,omong-omong air bersih kalimantan bayar,['btw air bersih di Kalimantan gak bayar']
39,_adhnnn,pemerintah daerah Indonesia bang bang,['Pemda Nusantara: bang udah banh']
40,_alip_luxz,mantap jokowi indonesia jaya jaya jaya,['Mantap Pak Jokowi\nIndonesia Jaya jaya jaya 🇮🇩🇮🇩🇮🇩']
41,_auahlap,hebat hrs perubahan negeri salut mu,['betul....bapak hebat ..hrs membuat perubahan besar utk negeri ini...aku salut PD mu']
42,_aurrlanatasya_,hore banget tinggal,['yey Deket banget sama tempat tinggal']
43,_bbiyu0,terbangunnya indonesia dibagi fungsinya terpacu jakarta,['kenapa gak dari awal terbangunnya indonesia dibagi rata fungsinya? kenapa hanya terpacu ke jakarta saja?']
44,_cintanyaaku,jakarta,['tapi Jakarta bakal selalu di ingat sih']
45,_finzz__,daerah istimewa yogyakarta,['Knp Ga D.I.Y']
46,_franssirlay,preman takuti kota Indonesia yah,['yang bakal jadi preman yang di takuti di ibu kota Nusantara siapa yah ?! 😳']
47,_indra_wj,biar demonstrasi,['biar gak bisa di demo']
48,_inisialas29,pemerintah majukan kota nusantara rakyat yah kaya,['Negara kalau mau maju itu bukan bikin ikn tapi bikin rakyat ya pDa kaya.']
49,_kingnst_10,setuju,['sangat setuju🥰🥰🥰🥰']
50,_leon074,hgb asing 160 bebas pajak 30 tuh 3 generasi tanahnya,"['HGB utk asing 160 tahun? Bebas pajak 30 tahun? Gimana tuh Pak? 3 generasi baru bisa kembali tanahnya dong,']"
51,_luluksusiati01,bersatu majukan membagun pemerintah nya conto ilmunya Amin,"['💪💪💪💪💪💪💪💪👌👍🤝🤝🤝🥰😘🙏🙏🙏🙏🙏🙏bersatu maju ...membagun negara satu sama lain nya kita conto ilmu,,nya amin............🤲🤲🤲🤲']"
52,_manusiasetengahorang,takut kalimantan polusi hewan punah,"['takut kalimantan tambah banyak polusi dan hewan"" banyak yg punah']"
53,_miriacannn145556,kampung kota,['kampung ku jadi kota']
54,_nwd___,saksi sejarah,['Saksi sejarah bener.. kitah😁']
55,_obaa04,2030 anak anak nya nanya pa kota indonesia hqha,"['2030 Nanti Kalo udah punya anak, anak nya nanya, Pa Ibu Kota Pertama Indonesia Di Mana Hqha😂']"
56,_pisces.92,alasan pemerataan ekomoni salah jakarta ttep pusat ekomoni indojd pengaruh bangun kota nusantara dmnapun,['klo alasan pemerataan ekomoni itu salah besar krn jkt ttep jd pusat ekomoni indo.jd gk pngaruh sama sekali mau bangun ikn dmnapun.']
57,_raindam_,utang pemerintah aja lunas,['utang negara ja blm lunas😭😭']
58,_ronironay77,tanah warisan pahlawan,['itu tanah warisan dari para pahlawan']
59,_sate.padan9,iya habis pohon tebang hilang paru-paru dunia,"['iyaa habis pohon d tebang, hilang paru² dunia']"
60,_sucirahmadnyyy,hore deh kota,['Yeeyyy jd dkt deh ibukota😂']
61,_supriyadi14,jakarta kota mengubah solusi,['tetap di Jakarta sbg ibu kota. pindah bukan solusi .']
62,_t.iia,takut konser jakarta,['takut konser ga dijakarta lg 😳']
63,a2family.com,,['😜']
64,aa.printshop,waduk pemerintah dijual mulu hgb 160thn,['waduk negara dijual Mulu dengan HGB 160thn']
65,aaaaahhhhhha47,memindahkan,['Kalau ingin membuat sesuatu yang baru itu artinya bukan memindahkan pak. 🙏🏼']
66,aaariiip,lupa umr ta jok,['jangan lupa UMR Naik ta Bung jok']
67,aaja_01,kelahiran,['tempat kelahiran😄']
68,aammugholib,bisnis properti menjanjikan,['apah ini bisnis property yang menjanjikan?']
69,aangahadiat,semoga rahayu lancar sukses pembangunan pusat pemerintahan,"['Semoga rahayu, lancar dan sukses pembangunan Pusat Pemerintahan.']"
70,aanjandro88,Palangkaraya geser ppukukar,['Itu tahu ke Palangkaraya kok geser ke PPU-Kukar???']
71,aanstya473,alhamdulillah bbm barang terimakasih,['Dan Alhamdulillah BBM naik smua barang juga ikut naik terimakasih 🙏🏻']
72,aapprriiiss,setuju kalimantan aman agama apapun suku diterima toleransi,"['setuju kalo di kalimantan, disana kita aman, siapapun kita, apa agama kita, apapun suku kita, kita semua diterima disana, toleransi tinggi ..']"
73,aariefsyah,mindset makelar tanah kota,['mindset baru.... makelar tanah ibu kota😂']
74,aariss.k,sadari jokowi tersedia perubahan segi public speaking i dont know but i cinta it,"[""tanpa saya sadari saya ngerasa memang Pak Jokowi ada perubahan dari segi public speaking. i don't know, but i love it""]"
75,aasett0,beratentahlah pesimis ya,['terlalu berat...entahlah koq sy pesimis yaa']
76,aat_aja,distribusi barang-barang mudah aksesny,['Buat distribusi brng2 jd mudah aksesny']
77,ab.ney11,orang kalimantan nya be like merasakan gratis ongkir-ongkir murah,['orang Kalimantan/sekitar nya bilek : akhirnya bisa ngerasain gratis ongkir/ongkir murah']
78,abasfei,rakyat percaya,['Apa Rakyat percaya ....']
79,abasilo89,terwujud pejabat tersedia korupsi,['semua pasti terwujud asalkan pejabat kita tdk ada yg korupsi']
80,abbeya67,selamat jokowi,['Bravo bp jokowi..']
81,abcdef9987,setuju,['gue gk setuju sih']
82,abdulhalim7500,kalimantan biaya hidup mahal,"['kalimantan biaya hidup mahal,']"
83,abdullahalmubarok2,berak sekebon,['Berak sekebon']
84,abdullahubaidy,pemerintah indonesia kuat mantap,['negara RI semakin kuat....mantap']
85,abdulmajidjonathan,hebat hiasa jokowi,['hebat luar hiasa pak Jokowi😁😁😁']
86,abdulmutalib85666478,kota nusantara tema pakai animasi mengeluarkan anggrana triliun pemerintah hutangnya,"['itu ikn atau tema aja di belakang di buat pakai animasi.....ngeluarin anggrana triliun', 'sebagai negara BESAR HUTANGNYA']"
87,abdulrajak843,uangnya habis proyek siap=siap investor tersedia terima,['tapi uangnya habis... proyek pun gk siap2.. investor pun gk ada acc.']
88,abdulrohman1212,orang mengubah lokasi nya kota mengubah yah,['😂😂😂😂😂kirain orang aja yg bisa pindah lokasi tau nya ibu kota aja bisa pindah yah']
89,abhimuhammadamar,pindahkan aja kota-kota mest bgun 0,"['pindahkn aj ke kota2 yg sudah ad, knp mest bgun dr 0']"
90,abiedawie,ekonomi benerin rakyat blangsak,['EKONOMI BENERIN DULU RAKYAT BLANGSAK']
91,abigemres,bukanya perbaiki tinggal hebat keren,['bukanya di perbaiki malah di tinggal hebat keren']
92,abinurohman390,indonesia majugaji tersedia utang pemerintah simpel,"['saya mah yang penting Indonesia maju,gaji besar dan ga ada utang negara udh simpel']"
93,abizar_ri,dipikirkan matang memindahkan kondisi rakyat indonesia,"['harusnya dipikirkan lebih matang lagi, apa dengan memindahkan akan lebih baik kondisi rakyat Indonesia']"
94,abizr282,sehat,['sehat selalu pak 😭😭❤️❤️❤️🤍']
95,aby.msykr_azrxyz,intinya sih jakarta kayak new york pusat perdagangan pemerintah kota nusantara Indonesia washington dc pusat pemerintahan,['intinya zi.. gini\njakarta kyak New York yg jadi pusat perdagangan negara\n& IKN (Nusantara) ibarat Washington DC yg jadi pusat pemerintahan!!']
96,acengaja30,hebat jokowi berkuasa dibangun dikota desa kota nusantara bangun skdar belaka,"['hebat pak jokowi bpk berkuasa bnyk yg sudah dibangun dikota maupun di desa, ikn pun mampu bpk bangun bkn skdar kata kata belaka']"
97,acengfikri888,hutang hutang,['hutang hutang']
98,aceparipib,omong kosong,['omdo']
99,achmadsolichin36,krisis tetep menolak setujuhnya alasan sakitapa otomatis bilang setujutentu kanhnya cari alasan,"['klopun nggak lagi krisis tetep aja anda akan menolak dn nggak setuju....hnya alasan aja', 'klopun nggak lagi sakit..apa otomatis anda bilang setuju...tentu tidak kan...hnya cari alasan sj']"
100,achmadyunussallah,warga berasal pemerintah warga kota nusantara,['apa warga baru yg berasal dari luar negara akan ikut jadi warga ikn']
101,achmal_nick,banget sabar banget sabar,"['Siappp bangtt, ga sabarrr🥰', 'Siappp bangtt, ga sabarrr🥰']"
102,achyarsani512,solusi kota banjir ketawa takut hehehehehe,['ini solusi agar ibuk kota tidak banjir... mau ketawa takut....... hehehehehe']
103,acifitriah15,berhenti ikn awas bobol anggaranan pembangunan belanja negara,['STOP IKN...Awas..BOBOL APBN...!!!!!!']
104,acihmarsih,suka presiden jokoi bangunan x kalah pemerintah mantap tap tap,['ini saya suka dri presiden Jokoi lanjut terus bangunan x jgn kalah dri negara lain mantap tap tap...👍👍']
105,acihmintarsih990,tersedia uang nya pa,['ada uang nya ga pa']
106,aciocp,,['😂😂😂']
107,acok_amir,mimpi,['mimpi']
108,adam_jojnfad,ngumpul jakarta timur terlupakan,['mau sampai kapan ngumpul di jakarta sedang kan timur terus terlupakan 😏']
109,addyproject,3 periode,['lanjut 3 periode pak']
110,ade.key,benahi ekonomi,['benahi dulu p ekonomi']
111,adeffa1,kali kota pipih jakarta,['Jauh kali ibu kota .Aku pipih jakarta aja']
112,adeirpani1,coba lapangan kerja uang trliunan tida menganggur,['coba kalau bikin lapangan kerja uang trliunan pasti tida banyak yang nganggur']
113,adeknya_jisoo_blackpink1,2023 ganti rakyat,['2023 ganti rakyat🥰']
114,adelalia24_,gedung nya,['sekarang udh setengah jdi gedung nya??']
115,ademarlintonz,ekonomi menyerap pekerjaan pemerintah pemerintah jawa,['Yg penting menjadi ekonomi Baru menyerap pekerjaan yg banyak.. seperti negara lain.. apakah kita akan terus begini?? negara ini bukan Jawa saja']
116,adenyy0,semangat jokowi jakarta tenggelam bangun kota nusantara,['semangat pak Jokowi jangan sampai Jakarta tenggelam dulu baru mau bangun IKN']
117,adesalon20,presiden seumur hidup sehat pakde,['presiden seumur hidup 🥰 sehat selalu pakde']
118,adesbackcroom,teruuuuus desa plosok2 ketinggalan,['masa depan teruuuuus\nmasa desa yang plosok2 juga masih jauh ketinggalan']
119,adetea887,harga harga mahalrakyat menjerit,['harga harga mahal.rakyat kecil menjerit.']
120,adeukaenah6,,['wah......😳']
121,adezedka_19,banget kemarin kota nusantara foto proyek2 gedung presiden kalimantan timur semoga berjalan lancar,"['Kebetulan Bgt Gw Kmren Ke IKN Ngeliat Foto Proyek2 Besar Lain Selain Gedung Presiden Di Kalimantan Timur, Moga Berjalan Lancar 😁😁']"
122,adhejoe213,proyek proyek oligarki,['PROYEK PROYEK 😂😂😂😂 OLIGARKI 😂😂']
123,adhisthia,sip semoga berhasil amin3,['siiip semoga berhasil amin3']
124,adisantoso44,gara-gara presiden perpu disahkan dpr,['gara..gara presiden ini perpu disahkan DPR']
125,aditboboku,hutan kalimantan terancamjantung dunia tuh pikir2,"['hutan Kalimantan terancam,,jantung dunia tuh pikir2 lagi']"
126,aditiya17911,percaya ya,['😂😂😂😂😂😂@aku percaya gak yaa']
127,adityarizki_f,oh,['ooooooooooh']
128,adlyy74,teman-teman kota tetep jakarta mengubah pemerintah nya amerika washington pemerintah lain-lain,"['guys ,ibu kota tetep Jakarta yg di pindah cuma pemerintah ny aja kayak Amerika, Washington tempat pemerintah semua dlln']"
129,admin_nggambaromah,yah,['ya ndak tahu kok tanya saya']
130,admireon,konsep nya kaya amerika kota metropolitan kota pisah,['konsep nya kaya amerika kota metropolitan sama ibu kota dipisah']
131,adnr41_,mengubah kota mempengaruhi harga jual yah,"['cuma mau tanyaa, kalo pindah ibu kota itu akan mempengaruhi harga jual gasi??']"
132,adolffadey4,b a c o t t t,['B A C O T T T']
133,adrikotto,setahu tersedia karno mengubah kota,['setahu sy gak ada bung Karno punya keinginan pindah ibu kota']
134,adsaaa2,cuman 1 paru-paru dunia,['cuman 1 lah paru2 dunia jadinya']
135,adtalexander,bang kota mengubah jakarta tiri,['bang kalo ibu kota pindah\napakah Jakarta akan jadi ibu tiri']
136,ady.g7,sehat presidenku,['sehat selalu presidenku ❤️']
137,adyssalau,penasaran deh,['kepo deh pgn kesanaa']
138,adzkiyaww,kasihan pohon pohon tebang,['aku kasihan sm pohon pohon yg di tebang🥺😢😭']
139,aekwijayabudaya,buktikan dokumennya jokowi,['Buktikab mana dokumennya JKW']
140,afandi048,nya kalimantan terakses jalan tol semoga berkembang majukan kalimantan,['akhir nya kalimantan terakses jalan TOL semoga semangkin berkembang maju kalimantan 🙏']
141,afdalaquaqu,selesai fasilitasnya terlengkap kota pemerintah dunia,['harus selesai dalam tiga tahun dengan fasilitasnya yang terlengkap dari seluruh seluruh ibu kota negara dunia.']
142,afifs02,jokowi hebat jokowi hebat,"['pak Jokowi...hebat....🥰', 'pak Jokowi...hebat....🥰']"
143,afri5900,borneo Indonesia,['BORNEO NUSANTARA']
144,aftafsh22,iyalah,['iyelah']
145,agathaindahrs,kalimantan jakarta penuh,['suatu saat Kalimantan akan jadi seperti Jakarta yg penuh']
146,ageungfirliansyah74,sulit sulit,['SYULIT SYULIT😅😂😂😂']
147,agilarsyzili,pakai dana lonutang,['pake dana dari mana pak lonutang']
148,agnes412yti,setuju,['setuju']
149,agnes_aries,gila presiden tercacat terburuk,['gila ini. presiden tercacat paling terburuk..']
150,agungbsaparako,,"['🥰🥰🥰🥰🥰🥰', '🥰🥰🥰🥰🥰🥰']"
151,agusa.ptr,jokowi setahun berkantor prabowo presiden,['Pak jokowi paling srtahun berkantor di sana nanti..lanjut pak prabowo yg jdi presiden']
152,agusagustus267,bbm produksi sndiri import melulu setuju yah,"['gimana caranya agar bbm bsa produksi sndiri gk import melulu, kira2bnyak yg stuju gk ya']"
153,agusaljabar2078,presiden pemberanitop markotopindonesia pemerintah,['presiden paling pemberani.top markotop..indonesia negara besar.']
154,agusmelas06,isinya orang kaya,"['isinya orang kaya semua,']"
155,aguspancanugroho,dana dhe,['yg pasti dana pak dhe...']
156,agussalim11,kota sebatas impian,['ibukota sebatas impian 🤣🤣🤣🤣🤣']
157,agussalimphs,indonesia ikan asing,['emang indonesia punya masa depan? ikan itu untuk masa depan asing']
158,agusser1,urus kesejahteraan rakyatjangan ngamburkan uang negararakyat susah kota nusantara mngkin persiapan pemerintah,"['urus tu kesejahteraan rakyat,jangan ngamburkan uang negara,rakyat aja masih susah', 'ikn m😏ngkin persiapan untuk negara...............🤭🤭🤭']"
159,agustinuskusmarta,majukan negriku indosia kemakmuran rakyat mksh jokowo prabowo,['maju trs untuk negriku indosia demi kemakmuran rakyat mksh pk Jokowo pk. Prabowo']
160,agustus61,majukan indonesia,['maju terus Indonesia']
161,ahadsan_dede,penghargaan orang lombok presiden pakai baju adat lombok mengumumkan pemindahan kota,"['sebuah penghargaan untuk orang Lombok, Presiden pakai baju adat Lombok untuk mengumumkan pemindahan Ibu Kota']"
162,ahayyy78,bayang utang indonesia bayar,['ke bayang gak utang indo jadi berapa?🤣🤣🤣 tar siapa yg bayar?🤣🤣']
163,ahf_678,pas taunya kotanya bandung,['gw pas kecil taunya ibu kotanya Bandung']
164,ahh_masa,urus jakarta banjir sampah lain-lain tersedia,"['nanti siapa yg urus Jakarta?\nbanjir sampah dll tetap bakal ada,']"
165,ahmad_syafiq46,yah allah hamba mohon mudahkan anis presiden,['ya allah hamba mohon mudahkan lah pak anis jadi presiden selanjutnya🥰🥰']
166,ahmadanshori6785,kota anak kalimantan hilang hutan bintang liar punah mengubah ayah tolongg,"['sebelum jd ibu kota aja, kami anak Kalimantan sudah mulai hilang hutan kami bintang liar sudah mulai punah, apa lagi pindah.. maaa abah tolongg']"
167,ahmaddedensitorus,pkoknya 3 priyode dhebess,['pkoknya 3 priyode.. dhebess.. 👍👍👍']
168,ahmadfadil388,tolak banteng,['tolak banteng🗿']
169,ahmadibakuljanur,,['🥰🥰']
170,ahmadkamililkhair,kota nya kalimantan timur,['ibu kota nya Kalimantan timur']
171,ahmadmuchtar873boby,hidup rakyat indonesia rakyat tiongkok,['buat siapa pak yg bakal hidup d sana ..rakyat Indonesia apa rakyat tiongkok😂😂😂']
172,ahmadmudiyono2,setuju presiden jokowi terbaik,['setuju pk presiden Jokowi best']
173,ahmadr4dian,mudah mencari uang,['mudah gua nyari cuan nanti 😂😂']
174,ahmadsahbandihas,bingung mencari investor,['hingga skrg masih bingung nyarik INVESTOR']
175,ahmadygy253,menghindari demonstrasi warga indonesia,['menghindari demo warga indonesia😂😂']
176,ahmiahmad2,kota mengubah asik hutang,['ibu kota pindah asik hutang baru']
177,ahzaramadhanch,cinta jakarta,['aku hny cinta jakarta']
178,aidenpenguasa010103,jokowi hebat,['Pak Jokowi hebat🥰🥰🥰🥰']
179,aiii.kho,khawatir,['gw jdi khawatir']
180,aileenlim29,keren,['Keren']
181,aishwanahlanahl67,3 periode,['lanjut 3 periode']
182,aisyhoktaaav_,takut kalimantanku dirusak,['Takut kalimantanku dirusak🥺']
183,ajenggseptianiii,bahhhh banget nih iyahhh nih iyah banget setuju nih mantap pokoknya,"['bahhhh bener banget nih', 'iyahhh nihhh', 'Iyah bener banget', 'setuju nihhh', 'mantap pokonya']"
184,aji...w,bang letak monas nya dimana,['bang letak monas nya dimana?']
185,ajiephamungkaz,lihat aja tersedia,['kita liat ajj ada apa di balik ini semua.']
186,ajiksanjaya2020,keren pokok nya keren pokok nya,"['Kereenn Pokok nya 🥰', 'Kereenn Pokok nya 🥰']"
187,ajipanguntul,serah situ yah situ,['SERAH SITU GAK YA SITU PAK 😂🤣']
188,ajirahmani18,pantesan bos teman orang cina beli tanah kalimantan timur,['Pantesan bos temen gw org cina banyak yg beli tanaha di Kaltim..']
189,ajotaja598,karno mengubah kota anggarannya paksakan tersedia,['kenapa bung karno ga jadi pindah Ibu kota itu krna anggarannya yg sangat besar jangan d paksakan ada yg lebih penting dari itu...']
190,ajubriadi,rakyat menderita pajak bbm listrik,"['yg jls mmbuat rkyt mnderita.krn pjak,bbm,listrk naik.']"
191,akal_sehatttt,utang oe,['utang dulu oe😂']
192,akane.jery,visi bagus lihat kondisi keuangan minat investor tersedia dipaksakan ekonomi global bagus,['mungkin visi yg bagus hanya saja liat kondisi keuangan dan minat investor pun gak ada jangan dipaksakan dulu krna memang ekonomi global lg ga bagus kn']
193,akangsunda89,mengubah kemana,['pindah kemana pak']
194,akecho.djl,mengubah protes mengubah tenggelam serba salah,['Kalo Pindah Protes Ga Pindah Tenggelam Serba Salah 😂😂']
195,akentragil_81,kalimantan jadikan singapore ke2 chinaindonesia,['kalimantan mau di jadikan Singapore ke-2 oleh China-Indonesia']
196,akhmadrofikhidayat,coba mengubah kota 30,['coba pindah ibukota setiap 30 tahun sekali']
197,akhmadsubagio,rakyat mendengarkan berdoa semoga omong kosong bukti nyata menguntungkan indonesia,"['Sebagai rakyat kecil hanya bisa mendengarkan dan berdoa semoga bukan omong kosong, tetapi bisa jadi bukti nyata dan menguntungkan Indonesia']"
198,akhyarnakoi,,['😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂']
199,akianleovenus,indonesia terbaik jokowi terbaik perubahan indonesia majukan,"['yang penting masa depan Indonesia yg terbaik, pak Jokowi itu yg terbaik dan untuk perubahan Indonesia yg maju.']"
200,akimadmz,selamat,['Bravo pak']
201,aklexteklex,tujuan utama kota nusantara mengejar jam bursa efek dunia,['yg sy tau tujuan utama ikn untuk mengejar jam bursa efek dunia']
202,akmalamal01,ongkos kirim makassar,['ongkir ke makassar🥰🥰🥰🥰😁😁😁']
203,aksadana602,yah siaran tv jam wita,['Aelah nanti siaran TV jadi Jam Wita 🗿']
204,aku_akan_kembalilagi2023,setuju kalimantan hutan ter hijau,['sya tidak setuju karena Kalimantan termasuk hutan ter hijau']
205,akubahagia592,mengubah jakarta kota tua terbengkalai,['klu sudah pindah Jakarta bakal jadi kota tua terbengkalai']
206,akucantek1111,habis hutan borneo kuatkan persatuan tanah borneo semena-mena,"['habis lah hutan borneo kami😞,, kuatkan lagi persatuan kita di tanah borneo,, agar mereka tidak semena2 dengan kita nntynya,,']"
207,akusukasholat,orang kalimantan setuju merusak alam kalimantan orang kalimantan setuju merusak alam kalimantan,"['SAYA ORANG KALIMANTAN KURANG SETUJU NANTI MALAH MERUSAK ALAM DI KALIMANTAN 😤😡', 'SAYA ORANG KALIMANTAN KURANG SETUJU NANTI MALAH MERUSAK ALAM DI KALIMANTAN 😤😡']"
208,alangudin,mantap,['mantap pak de😁']
209,alapalap40,proyek bisnis keuntungan yah,['banyak proyek banyak bisnis keuntungan ya pak']
210,albuc2,ppkn cabuutkapan dagang,['PPKn kpn di cabuut...kapan bisa dagang lg']
211,alcringe07,asik merasakan indomaret,['asik bisa ngerasain Indomaret taun depan']
212,aldi_bahasfilm,banget detail banget salut terima kasih admin i cinta that,"['ini jelas banget sih, ngejelasinnya. detail banget. salut🥰 thx min... i love that']"
213,aldiansyah3873,yah setuju anggaran negeri bangkit wabah covid anggaran nya bangkit pasca covid,['ya cma gk setuju dengan anggaran yang besar itu di tambah negeri ini lagi bangkit dri wabah covid yg harusnya anggaran nya buat bangkit pasca covid']
214,aldode1945,semoga desa gusur nya desa,['semoga desa kami ga di gusur soal nya desa kami udah lama']
215,aldy964,paru-paru nya dunia ko bangunan,['paru2 nya dunia ko di bikin bangunan 🙈🙈🙈🙈']
216,alea.leee,takut hutan kalimantan gedung,['takut hutan Kalimantan jdi gedung semua:)']
217,alectonotsave,yahh kalimantan hijau,['yahh Kalimantan ga hijau lagii:<']
218,aleemyname,berhutang melanjutkan proyeknya yah,['Jangan sampe ngutang buat ngelanjutin proyeknya ya..']
219,alex.jatipelem.01,jahat pemerintah,['jahat pemerintah']
220,alex_official20105,yah gratis ongkos kirim deh,['yah udah gada gratis ongkir lagi deh 😔☝🏻']
221,alexandeer431,,['lanjut kan pak']
222,alexanderkhrushchev,presiden kucintai bantuan,['presiden yang kucintai sekalipun aku tidak pernah dapat bantuan']
223,alexna.ars,takut mapell susah,['gua takuttt mapell makin susah']
224,alexsjunior2,,['😂😂😂']
225,alfa_tiktok_ml,cari kerja ekonomi nya bagus salah pemerintah,"['cari kerja kalau mau ekonomi nya bagus , jangan salah kan pemerintah']"
226,alfajrmedia,tersedia diurus buat2,"['Yg ada aja dulu diurus, baru buat2 yg lain.']"
227,alfarizal5,minimal utang,['minimal ngk nambah utang lh']
228,alfaruq975,boleh-boleh kota pindahkira2 tersedia uangnya yah,['boleh2 saja ibukota di pindah...kira2 ada gak uangnya ya?']
229,alfasha243,sehat-sehat bapake,['sehat2 bapake🥰']
230,alfathunnissa,biden blng jakarta tenggelambeliau mnyiapkn kota barumslh finacial emang btuh modal bsrtp mbalik bbrp kedpnbtuh proses,"['sebelum biden blng jkt akn tenggelam,beliau mnyiapkn ibukota baru,mslh finacial emng btuh modal bsr,tp bs mbalik bbrp taun kedpn,btuh proses']"
231,alfatih145326,sales promosi,['sales lagi promosi lagi😂😂']
232,alfidiana03,keren,['keren....🥰']
233,algozali.sukoco,,"['sangat tidak siapp..', 'sangat tidak siapp..']"
234,alhattami18,intinya wajib tersedia jalur krl,['intinya wajib ada jalur KRL']
235,aliakhamad,setuju indonesia majukan kepentingan segolongan sekelompok untung,"['setuju klo untuk Indonesia maju,, jauh kan dr kepentingan segolongan atau sekelompok yg ingin untung sendiri,,']"
236,aliandriano,palangka yah jalan siapkan noh,"['Bukannya ke palangka ya, pdhl Jalan udh d siapkan noh']"
237,aliii2105,semoga ongkos kirim murah,['semoga ongkir makin murah🥰🥰']
238,alimdikantun89,garut,['😂😂😂😂knpa g ke garut p😂😂']
